tier1,tier2,tier3,explanation
Design,Human centred design,,Design philosophy focusing on human factors ergonomics usability and user needs throughout design process ensuring products and systems work effectively for people
Design,Digital prototyping,,Engineering process creating detailed virtual 3D models and simulations of products assemblies and systems for testing and validation before physical prototypes
Design,Product Life Cycle Analysis,,Systematic analysis evaluating environmental economic and performance impacts of product throughout entire life from raw material through manufacturing use and disposal
Design,Design for 2nd life and End of life,,Design approach considering product reuse remanufacturing recycling and disposal planning for disassembly material recovery and environmental responsibility
Digital,,,Technologies systems and capabilities related to computerization data processing connectivity automation and information technology in manufacturing environments
Digital,Cybersecurity,,Technologies practices and policies protecting digital systems networks data and operations from unauthorized access attacks and cyber threats in manufacturing environments
Digital,Data analytics,,Techniques and systems collecting processing analyzing and visualizing manufacturing data to derive insights optimize operations and support decision-making
Digital,Standards and policies related to digital engineering,,Frameworks protocols regulations and best practices governing digital manufacturing data exchange interoperability security and intellectual property
Digital,Artificial intelligence / machine learning,,Computer systems and algorithms learning from data to perform tasks like prediction classification optimization and decision support in manufacturing applications
Digital,Industrial IoT,,Interconnected network of sensors devices machines and systems in manufacturing environment collecting and exchanging data for monitoring control and optimization
Digital,Visualisation,,Technologies creating visual representations of data models processes or systems for understanding analysis communication and decision-making
Digital,Visualisation,Virtual Reality,Immersive computer-generated 3D environment users can interact with using specialized hardware for training design review simulation and visualization applications
Digital,Visualisation,Augmented reality,Technology overlaying digital information and graphics onto real-world view through devices enhancing perception and providing contextual information for assembly maintenance and training
Digital,Visualisation,Extended reality,Umbrella term encompassing all immersive technologies including virtual reality augmented reality and mixed reality for various manufacturing applications
Digital,Visualisation,Mixed Reality,Technology blending physical and digital worlds allowing virtual objects to interact with real environment for collaborative design visualization and spatial computing
Measurement OR Testing,,,Processes equipment and techniques for evaluating measuring inspecting and verifying physical chemical mechanical and dimensional characteristics of materials and products
Measurement OR Testing,Microscopy and material characterisation,,Analytical techniques using microscopes and instruments to examine microstructure composition morphology and properties of materials at microscopic scales
Measurement OR Testing,,,"Measurement OR Testing is a high-level manufacturing capability domain that groups together related processes, technologies, and expertise areas used across industrial production and engineering."
Measurement OR Testing,Chemical analysis,,Laboratory techniques identifying and quantifying chemical composition and elements in materials using spectroscopy chromatography and wet chemistry methods
Measurement OR Testing,Contact and non-contact coordinate measurement,,Dimensional measurement using coordinate measuring machines with touch probes or optical/laser sensors to verify geometry and tolerances
Measurement OR Testing,Humidity measurement and monitoring,,Instrumentation and sensors measuring relative humidity dew point or absolute moisture content in environments for process control and quality assurance
Measurement OR Testing,Temperature measurement and monitoring,,Sensors and instruments measuring temperature using thermocouples RTDs infrared or other methods for process control heat treatment and environmental monitoring
Measurement OR Testing,Mechanical testing,,Laboratory testing determining material mechanical properties including tensile strength hardness toughness fatigue creep and impact resistance through standardized test methods
Measurement OR Testing,Residual stress measurement ,,Techniques measuring internal stresses remaining in material after manufacturing using X-ray diffraction hole drilling or ultrasonic methods affecting performance and distortion
Measurement OR Testing,Metrology,,Science of measurement including dimensional geometric and quality measurement establishing traceability accuracy and calibration systems for manufacturing measurement equipment
Measurement OR Testing,Machine verification,,Procedures measuring and verifying machine tool accuracy positioning repeatability geometry and performance using standards artifacts and calibrated instruments
Measurement OR Testing,In-process inspection technologies,,Measurement systems integrated into manufacturing processes providing real-time dimensional or quality data enabling process adjustment and 100% inspection
Measurement OR Testing,In-process monitoring ,,Sensors and systems continuously measuring process parameters like forces temperatures vibrations during manufacturing operations for quality control and optimization
Measurement OR Testing,Surface metrology,,Measurement and characterization of surface texture roughness waviness and form using contact or optical instruments for quality control and functional performance
Measurement OR Testing,Non Destructive testing,,Inspection techniques evaluating material and component integrity without causing damage using ultrasonic radiography magnetic particle dye penetrant or eddy current methods
Measurement OR Testing,Reverse Engineering,,Process measuring and analyzing existing physical parts to create CAD models drawings or specifications recreating design intent from physical artifacts
Measurement OR Testing,Measurement Management Systems,,Organizational systems managing calibration measurement uncertainty traceability documentation and quality assurance for measurement equipment and processes
Measurement OR Testing,Verification ,,Activities confirming that measurements products processes or systems meet specified requirements through objective evidence and testing
Measurement OR Testing,Verification ,Standards,Reference artifacts materials or procedures with certified known values used to calibrate verify or validate measurement systems and instruments
Measurement OR Testing,Verification ,Artefacts,Physical objects with certified geometric dimensional or material properties used as references for calibrating and verifying measurement equipment and processes
Measurement OR Testing,Molecular Topollogy,,Study and analysis of three-dimensional spatial arrangement and connectivity of molecules particularly relevant for understanding material properties and biological systems
Measurement OR Testing,Molecular Topollogy,Biomolecules,Analysis and characterization of biological molecules including proteins nucleic acids and carbohydrates studying their structure function and interactions
Measurement OR Testing,Genomes ,,Analysis and sequencing of complete genetic material of organisms relevant for biotechnology materials development and biological manufacturing processes
Additive Manufacturing OR 3D printing OR 3DP,,,Layer-by-layer manufacturing processes building three-dimensional objects from digital models by selectively adding material enabling complex geometries and customization
Additive Manufacturing OR 3D printing OR 3DP,Vat photopolymerisation,,3D printing process using light (UV laser or projector) to selectively cure liquid photopolymer resin in vat layer by layer producing high-resolution parts
Additive Manufacturing OR 3D printing OR 3DP,Vat photopolymerisation,Stereolithography,First commercial 3D printing technology using UV laser to cure liquid photopolymer resin point by point creating high-detail prototypes and patterns
Additive Manufacturing OR 3D printing OR 3DP,Vat photopolymerisation,Digital Light Processing,Vat polymerization using digital projector to cure entire layer simultaneously faster than laser-based systems producing smooth high-resolution parts
Additive Manufacturing OR 3D printing OR 3DP,Vat photopolymerisation,Continuous Digital Light Processing,Advanced DLP variant continuously pulling part from resin vat while projecting image sequence dramatically increasing build speed for production applications
Additive Manufacturing OR 3D printing OR 3DP,,,"Additive Manufacturing OR 3D printing OR 3DP is a high-level manufacturing capability domain that groups together related processes, technologies, and expertise areas used across industrial production and engineering."
Additive Manufacturing OR 3D printing OR 3DP,Material Extrusion (FDM),,3D printing process extruding thermoplastic filament through heated nozzle depositing material layer by layer most common desktop 3D printing technology
Additive Manufacturing OR 3D printing OR 3DP,Material Jetting,,3D printing selectively depositing droplets of photopolymer or wax materials then curing with UV light building high-resolution multi-material parts
Additive Manufacturing OR 3D printing OR 3DP,Material Jetting,PolyJet technology,Material jetting using multiple print heads to deposit photopolymer droplets and support material enabling multi-material full-color high-detail parts
Additive Manufacturing OR 3D printing OR 3DP,Material Jetting,NanoParticle Jetting (NPJ),Material jetting depositing nanoparticle metal ink then sintering to create metal parts offering fine detail and smooth surfaces without powder
Additive Manufacturing OR 3D printing OR 3DP,Material Jetting,Drop-On Demand (DOD),Material jetting technology depositing individual droplets of build and support materials on demand similar to inkjet printing for wax or thermoplastic parts
Additive Manufacturing OR 3D printing OR 3DP,Binder Jetting,,3D printing selectively depositing liquid binder onto powder bed bonding particles layer by layer used for sand molds metal parts and ceramics
Additive Manufacturing OR 3D printing OR 3DP,Binder Jetting,Furan,Binder jetting for sand molds using furan-based organic binder system providing high strength and thermal stability for metal casting applications
Additive Manufacturing OR 3D printing OR 3DP,Binder Jetting,Silicate Binder,Binder jetting using sodium silicate (water glass) binder providing environmentally friendly option for sand molds with good strength and collapsibility
Additive Manufacturing OR 3D printing OR 3DP,Binder Jetting,Phenolic Binder,Binder jetting using phenolic resin binder offering excellent high-temperature strength for sand molds in ferrous and non-ferrous casting
Additive Manufacturing OR 3D printing OR 3DP,Binder Jetting,Aqueous-Based Binder,Binder jetting using water-based binder systems for metals ceramics or sand providing safer handling and environmental advantages over solvent-based systems
Additive Manufacturing OR 3D printing OR 3DP,Powder bed fusion,,3D printing selectively fusing powder particles using thermal energy (laser or electron beam) layer by layer producing fully dense functional metal or polymer parts
Additive Manufacturing OR 3D printing OR 3DP,Powder bed fusion,Laser Fused,Powder bed fusion using laser beam (SLS for polymers SLM/DMLS for metals) to selectively melt and fuse powder particles producing high-strength functional parts
Additive Manufacturing OR 3D printing OR 3DP,Powder bed fusion,Electron Beam fused,Powder bed fusion using electron beam in vacuum to melt metal powder offering faster build speeds and reduced residual stress particularly for reactive metals
Additive Manufacturing OR 3D printing OR 3DP,Powder bed fusion,Fused with agent and energy,Powder bed fusion depositing chemical agents on powder bed then applying energy to selectively fuse material (like HP Multi Jet Fusion) enabling high productivity
Additive Manufacturing OR 3D printing OR 3DP,Powder bed fusion,Thermally fused,Powder bed fusion using thermal energy without specific energy source focus referring to general thermal bonding mechanisms in various PBF technologies
Additive Manufacturing OR 3D printing OR 3DP,Direct energy deposition,,3D printing simultaneously melting and depositing material (powder or wire) using focused energy source building or repairing parts through layer addition
Additive Manufacturing OR 3D printing OR 3DP,Direct energy deposition,Laser-based DED systems,Direct energy deposition using laser as energy source with powder or wire feedstock for building large parts cladding and repair applications
Additive Manufacturing OR 3D printing OR 3DP,Direct energy deposition,Electron beam-based DED systems,Direct energy deposition using electron beam in vacuum chamber with wire feedstock for high deposition rate large-scale metal part production
Additive Manufacturing OR 3D printing OR 3DP,Direct energy deposition,Manufacturing (EBAM),Electron beam additive manufacturing using wire feedstock and electron beam for rapid large-scale metal part production with high material efficiency
Additive Manufacturing OR 3D printing OR 3DP,Sheet lamination,,3D printing bonding sheets of material (paper plastic metal) together layer by layer through adhesive ultrasonic welding or brazing then cutting profiles
Additive Manufacturing OR 3D printing OR 3DP,Sheet lamination,Laminated Object Manufacturing (LOM),Sheet lamination using adhesive-coated paper or plastic sheets bonded together and laser-cut creating large low-cost prototypes and patterns
Additive Manufacturing OR 3D printing OR 3DP,Sheet lamination,Selective Lamination Composite Object Manufacturing (SLCOM),Sheet lamination selectively bonding composite material sheets only where needed reducing material waste and enabling heterogeneous material structures
Additive Manufacturing OR 3D printing OR 3DP,Sheet lamination,Plastic Sheet Lamination (PSL),Sheet lamination process bonding thermoplastic sheets through heat and pressure then cutting contours creating durable plastic parts and composites
Additive Manufacturing OR 3D printing OR 3DP,Sheet lamination,Computer-Aided Manufacturing of Laminated` Engineering Materials (CAM-LEM),Sheet lamination system for creating composite structures and tooling from engineering materials using computer-controlled lamination and cutting
Additive Manufacturing OR 3D printing OR 3DP,Sheet lamination,Selective Deposition Lamination (SDL),Hybrid process combining material deposition and sheet lamination enabling multi-material structures with controlled internal architecture
Additive Manufacturing OR 3D printing OR 3DP,Sheet lamination,Composite Based Additive Manufacturing (CBAM),Sheet lamination focused on building fiber-reinforced composite structures with controlled fiber orientation and layer architecture for structural applications
Additive Manufacturing OR 3D printing OR 3DP,Sheet lamination,Ultrasonic Additive Manufacturing (UAM),Sheet lamination using ultrasonic welding to bond metal foils creating solid metal parts at low temperature enabling embedded sensors and dissimilar metal joining
Composites,,,Manufacturing processes for fiber-reinforced polymer materials combining reinforcement fibers with polymer matrix to create lightweight high-strength structures
Composites,Wet Lay-Up,,Manual composite manufacturing placing dry reinforcement fabrics in mold then applying liquid resin by hand rolling out entrapped air simple low-cost process
Composites,Wet Spray-Up,,Composite manufacturing simultaneously spraying chopped fibers and catalyzed resin onto mold surface then rolling to consolidate faster than wet lay-up for large parts
Composites,Vacuum Infusion,,Composite process placing dry reinforcement in mold covering with vacuum bag then drawing liquid resin through fabric using vacuum pressure producing high fiber content parts
Composites,Resin Transfer Moulding (RTM),,Closed-mold composite process placing dry reinforcement in mold closing mold then injecting resin under pressure producing parts with two finished surfaces
Composites,RTM Light,,Simplified resin transfer molding using lightweight tooling and lower pressures providing cost-effective alternative for medium-volume composite part production
Composites,Prepreg,,Pre-impregnated composite material with fibers already combined with partially cured resin requiring cold storage and oven curing producing high-quality structural parts
Composites,Filament Winding,,Automated composite process winding continuous resin-impregnated fibers onto rotating mandrel creating hollow cylindrical or spherical structures with excellent strength
Composites,Moulding Compounds,,Composite materials in ready-to-mold form including sheet molding compound (SMC) and bulk molding compound (BMC) used in compression or injection molding
Composites,Continuous Processes,,Composite manufacturing methods producing continuous lengths of constant-cross-section profiles through continuous fiber reinforcement and resin curing
Composites,Continuous Processes,Pultrusion,Continuous composite process pulling fiber rovings through resin bath then heated die producing constant-cross-section profiles like rods tubes and structural shapes
Composites,Continuous Processes,Pull-winding,Hybrid process combining pultrusion and filament winding producing continuous cylindrical profiles with both axial and circumferential reinforcement
Composites,Continuous Processes,Continuous sheet,Continuous process producing flat composite sheets or panels through continuous fiber reinforcement and resin impregnation for secondary forming or applications
Composites,Continuous Processes,Continuous filament winding,Automated process continuously winding resin-impregnated fibers onto mandrel for producing long cylindrical structures like pipes with continuous production
Composites,Thermoplastics,,Composite materials using thermoplastic matrix (instead of thermoset) enabling rapid processing reformability recycling and welding with fiber reinforcement
Composites,Automated composites preforming,,Automated processes creating dry fiber preforms matching final part shape before resin infusion using robotic placement pressing or forming equipment
Composites,Automated composites preforming,Robot/press forming,Automated process using robots or presses to form dry fiber reinforcements into three-dimensional preform shapes before resin infusion or other molding
Composites,Automated composites preforming,Double diapgrahm forming,Preforming process using pressurized membranes above and below fiber stack to form complex double-curvature shapes with reduced wrinkles and good compaction
Automation,,,Technologies systems and integration of mechanical electrical and software systems to operate manufacturing processes with reduced human intervention
Automation,Autonomous manufacturing application,,Advanced manufacturing systems using artificial intelligence sensors and control algorithms to make decisions and adapt operations without human intervention
Automation,Robotics & advanced robotics,,Programmable machines performing manufacturing tasks like assembly welding painting and material handling with increasing intelligence collaboration and flexibility
Automation,Advanced Process Control,,Sophisticated control algorithms and systems optimizing manufacturing process parameters in real-time using mathematical models sensors and feedback for quality and efficiency
Automation,Bespoke automation & mechatronics,,Custom-designed automated systems integrating mechanical electrical electronic and software engineering to solve specific manufacturing challenges and requirements
Automation,Factory and Assembly,,Automation systems and equipment for manufacturing assembly operations including workstations material handling quality inspection and process integration
Automation,Factory and Assembly,Automated assembly,Robotic or mechanized systems performing assembly operations like part insertion fastening welding or bonding with automated feeding positioning and quality verification
Automation,Factory and Assembly,Smart assembly and work holding,Intelligent fixtures and holding systems using sensors actuators and control to automatically adapt position verify and secure workpieces during assembly operations
Automation,Factory and Assembly,In-factory automated part movement,Material handling systems including conveyors AGVs AMRs robots and automated storage/retrieval moving parts materials and products throughout manufacturing facility
Automation,Sensors and connectivity,,Devices and networks measuring physical parameters and transmitting data enabling monitoring control and integration of manufacturing equipment and systems
Automation,Human Robotics / Assistance Systems,,Collaborative robots exoskeletons and assistive technologies working alongside humans enhancing capabilities safety ergonomics and productivity in manufacturing tasks
Biotech,,,Biological manufacturing processes using living organisms cells or biological systems to produce materials chemicals pharmaceuticals or modify biological materials
Biotech,Fermentation / Cultivation,,Biological process growing microorganisms (bacteria yeast fungi) or cells in controlled conditions to produce desired metabolites proteins or biomass
Biotech,Fermentation / Cultivation,Submerged,Fermentation where microorganisms grow suspended in liquid medium most common industrial fermentation method for producing chemicals enzymes and pharmaceuticals
Biotech,Fermentation / Cultivation,Solid state,Fermentation where microorganisms grow on solid substrate material with minimal free water used for producing enzymes organic acids and traditional fermented foods
Biotech,Fermentation / Cultivation,Aerial,Fermentation occurring in gas phase or with significant gas exchange important for aerobic organisms requiring oxygen for growth and metabolism
Biotech,Fermentation / Cultivation,Surface,Fermentation where microorganisms grow on surface of liquid medium or solid substrate interface used for specific organisms like fungi producing enzymes
Biotech,Downstream processes,,Operations following fermentation separating purifying concentrating and preparing biological products from fermentation broth or cell culture for final use
Biotech,Downstream processes,Seperation,Processes separating target product from cells debris and other components using centrifugation filtration or settling as first step in downstream processing
Biotech,Downstream processes,Drying,Removing water from biological products using techniques like spray drying freeze drying or vacuum drying to create stable powdered or solid products
Biotech,Downstream processes,Purification,Processes isolating and concentrating target biological product from contaminants using chromatography crystallization precipitation or membrane separation achieving required purity
Biotech,Downstream processes,Finishing Processes,Final processing steps including formulation packaging sterilization and quality testing preparing biological products for distribution and use
Biotech,Upstream Processes,,Operations before fermentation including raw material preparation media formulation sterilization inoculum preparation and feed stream preparation
Biotech,Upstream Processes,Alteration,Genetic or metabolic modification of organisms to enhance productivity introduce new capabilities or optimize production characteristics for bioprocessing
Biotech,Upstream Processes,Sterilisation,Eliminating unwanted microorganisms from equipment media and air using heat chemicals radiation or filtration to prevent contamination in fermentation processes
Biotech,Analysis,,Analytical methods characterizing measuring and monitoring biological materials products and process parameters ensuring quality and process understanding
Biotech,Analysis,Spectrometry,Analytical techniques measuring properties of matter through interaction with electromagnetic radiation including mass spectrometry UV-Vis and infrared for identifying and quantifying molecules
Biotech,Analysis,Chromatography,Separation and analysis techniques including HPLC GC and affinity chromatography separating and quantifying components in complex biological mixtures
Biotech,Analysis,Wet Chemistry,Classical analytical chemistry techniques using chemical reactions titrations and colorimetric methods for analyzing biological samples and process streams
Biotech,Culturing,,Laboratory and production-scale growing of microorganisms cells or tissues in controlled conditions for research production or testing applications
Biotech,Culturing,Strain Development,Genetic engineering selection and optimization of microorganisms or cell lines to improve production characteristics yields stability or introduce new capabilities
Biotech,Culturing,Medium development,Formulation and optimization of nutrient solutions providing necessary carbon nitrogen minerals and growth factors for optimal organism growth and product formation
Biotech,Process Engineering,,Engineering design optimization and scale-up of biotechnology processes including bioreactor design process control mass transfer and economic analysis
Biotech,Process Engineering,Modeling,Mathematical and computational representation of biological processes predicting performance optimizing conditions and understanding system behavior for scale-up and control
Biotech,Process Engineering,Economic analysis,Financial and technical evaluation of biotechnology processes assessing capital costs operating expenses yields and profitability for investment and optimization decisions
